172.31.3.121,172.31.1.6,DNS,377,Standard query response 0xc357 A myntra.myntassets.com.edgesuite.net CNAME a1784.r.akamai.net A 104.86.110.90 A 104.86.110.114 NS e.gtld-servers.net NS l.gtld-servers.net NS h.gtld-servers.net NS j.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,73,Standard query 0xe028 A wordpress.org
172.31.1.6,172.31.3.121,DNS,78,Standard query 0xf6d9 A a1784.r.akamai.net
172.31.1.6,172.31.3.121,DNS,77,Standard query 0xa1b5 A www.wordpress.org
172.31.3.121,172.31.1.6,DNS,331,Standard query response 0xf6d9 A a1784.r.akamai.net A 104.86.110.114 A 104.86.110.90 NS j.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS i.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS a.gtld-servers.net NS g.gtld-servers.net NS e.gtld-servers.net NS k.gtld-servers.net
172.31.131.214,172.31.1.6,DNS,84,Standard query 0x1c2a A translate.googleapis.com
172.31.131.214,172.31.1.6,DNS,79,Standard query 0x1380 A clients4.google.com
8.8.4.4,172.31.3.121,DNS,809,Standard query response 0xc63b DS supersonicads.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.131.214,172.31.1.6,DNS,76,Standard query 0x863d A dns.msftncsi.com
172.31.3.121,172.31.1.6,DNS,341,Standard query response 0x2fca A outcome.supersonicads.com A 54.165.69.202 A 52.7.215.118 NS k.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net NS g.gtld-servers.net NS m.gtld-servers.net NS j.gtld-servers.net NS b.gtld-servers.net NS d.gtld-servers.net NS f.gtld-servers.net NS e.gtld-servers.net
172.31.1.6,172.31.136.189,DNS,117,Standard query response 0xb5f1 A outcome.supersonicads.com A 54.165.69.202 A 52.7.215.118
172.31.126.0,172.31.1.6,DNS,141,Standard query 0x366d A b-0.19-a3000408.81.16a8.ab2.3ea4.410.0.dek63ler71n1t6ir1fhf3678vt.avts.mcafee.com
