172.31.131.215,172.31.1.6,DNS,84,Standard query 0x0466 A datasaver.googleapis.com
172.31.1.6,172.31.136.124,DNS,119,Standard query response 0x6a62 AAAA ws12.gti.mcafee.com CNAME ws12.gti.mcafee.akadns.net
172.31.1.6,172.31.136.124,DNS,247,Standard query response 0x2837 A ws12.gti.mcafee.com CNAME ws12.gti.mcafee.akadns.net A 161.69.226.19 A 161.69.226.21 A 161.69.226.23 A 161.69.226.17 A 161.69.226.18 A 161.69.226.20 A 161.69.226.28 A 161.69.226.26
172.31.122.10,172.31.1.6,DNS,81,Standard query 0x02ed A c.amazon-adsystem.com
172.31.1.6,172.31.3.121,DNS,81,Standard query 0x7872 A c.amazon-adsystem.com
172.31.122.10,172.31.1.6,DNS,87,Standard query 0xb339 A wfpscripts.webspectator.com
208.67.220.123,172.31.3.121,DNS,172,Standard query response 0xcfda A b-0.19-a3000008.1000d1.16a8.a86.3ea5.410.0.jqwiuw8hmtdu4a4pcewt89j3fi.avts.mcafee.com A 127.129.0.128 OPT
172.31.3.121,172.31.1.6,DNS,385,Standard query response 0x77fe A b-0.19-a3000008.1000d1.16a8.a86.3ea5.410.0.jqwiuw8hmtdu4a4pcewt89j3fi.avts.mcafee.com A 127.129.0.128 NS d.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net NS e.gtld-servers.net NS k.gtld-servers.net NS j.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS a.gtld-servers.net
172.31.1.8,172.31.164.181,DNS,231,Standard query response 0x9893 A m.addthis.com CNAME m.addthisedge.com CNAME m.addthisedge.com.cdn.cloudflare.net A 104.16.25.235 A 104.16.26.235 A 104.16.23.235 A 104.16.27.235 A 104.16.24.235
8.8.4.4,172.31.3.121,DNS,140,Standard query response 0xa956 A p06-keyvalueservice-current.edge.icloud.apple-dns.net A 17.248.154.139 OPT
172.31.3.121,172.31.1.6,DNS,394,Standard query response 0x8e13 A p06-keyvalueservice.icloud.com CNAME p06-keyvalueservice-current.edge.icloud.apple-dns.net A 17.248.154.139 NS l.gtld-servers.net NS j.gtld-servers.net NS m.gtld-servers.net NS f.gtld-servers.net NS a.gtld-servers.net NS b.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS h.gtld-servers.net NS e.gtld-servers.net NS i.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,113,Standard query 0x617b A p06-keyvalueservice-current.edge.icloud.apple-dns.net
8.8.4.4,172.31.3.121,DNS,105,Standard query response 0xd561 A www.ifirstrowus.eu A 93.170.92.44 OPT
172.31.3.121,172.31.1.6,DNS,350,Standard query response 0x617b A p06-keyvalueservice-current.edge.icloud.apple-dns.net A 17.248.154.139 NS i.gtld-servers.net NS a.gtld-servers.net NS b.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS h.gtld-servers.net NS e.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net
172.31.1.6,172.31.205.179,DNS,173,Standard query response 0xc863 A p06-keyvalueservice.icloud.com CNAME p06-keyvalueservice-current.edge.icloud.apple-dns.net A 17.248.154.139
8.8.4.4,172.31.3.121,DNS,148,Standard query response 0xf03c A r2---sn-p5qlsnss.googlevideo.com CNAME r2.sn-p5qlsnss.googlevideo.com A 173.194.53.135 OPT
172.31.122.135,172.31.1.6,DNS,113,Standard query 0x11f6 A p20-keyvalueservice-current.edge.icloud.apple-dns.net
172.31.1.6,172.31.3.121,DNS,113,Standard query 0xb676 A p20-keyvalueservice-current.edge.icloud.apple-dns.net
8.8.4.4,172.31.3.121,DNS,150,Standard query response 0xa026 A r16---sn-qxa7en7s.googlevideo.com CNAME r16.sn-qxa7en7s.googlevideo.com A 173.194.14.85 OPT
172.31.130.106,172.31.1.6,DNS,77,Standard query 0x09bf A gfwsl.geforce.com
172.31.1.6,172.31.3.121,DNS,82,Standard query 0x4fae A e1972.g.akamaiedge.net
209.244.0.3,172.31.3.121,DNS,145,Standard query response 0xca55 DS serverrl.com SOA a.gtld-servers.net
208.67.220.123,172.31.3.121,DNS,230,Standard query response 0x731a A ee94c7a359.site.internapcdn.net A 66.151.147.237 A 66.151.147.230 A 66.151.147.231 A 66.151.147.232 A 66.151.147.233 A 66.151.147.234 A 66.151.147.235 A 66.151.147.236 OPT
8.8.4.4,172.31.3.121,DNS,135,Standard query response 0x0ab2 A p39-ckdatabase-current.edge.icloud.apple-dns.net A 17.248.154.175 OPT
172.31.3.121,172.31.1.6,DNS,345,Standard query response 0x30b5 A p39-ckdatabase-current.edge.icloud.apple-dns.net A 17.248.154.175 NS m.gtld-servers.net NS j.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net
172.31.1.8,172.31.165.76,DNS,124,Standard query response 0xc85f A p39-ckdatabase-current.edge.icloud.apple-dns.net A 17.248.154.175
172.31.106.211,172.31.1.6,DNS,76,Standard query 0x2fb1 A e14.whatsapp.net
8.8.4.4,172.31.3.121,DNS,228,Standard query response 0x3368 A d2xn29sgz41atg.cloudfront.net A 54.230.172.199 A 54.230.172.216 A 54.230.172.96 A 54.230.172.247 A 54.230.172.99 A 54.230.172.34 A 54.230.172.221 A 54.230.172.10 OPT
172.31.3.121,172.31.1.6,DNS,438,Standard query response 0x9805 A d2xn29sgz41atg.cloudfront.net A 54.230.172.10 A 54.230.172.34 A 54.230.172.96 A 54.230.172.216 A 54.230.172.247 A 54.230.172.221 A 54.230.172.99 A 54.230.172.199 NS f.gtld-servers.net NS j.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net
172.31.145.241,172.31.1.6,DNS,79,Standard query 0x3604 A graph.instagram.com
209.244.0.3,172.31.3.121,DNS,110,Standard query response 0xc87a A sumo.external.zlb.scl3.mozilla.com A 63.245.213.32
4.2.2.3,172.31.3.121,DNS,808,Standard query response 0x63a2 DS warmportrait.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
8.8.4.4,172.31.3.121,DNS,107,Standard query response 0x2405 A m.exovueplatform.com A 52.71.176.174 OPT
172.31.3.121,172.31.1.6,DNS,367,Standard query response 0xf6ba A support.mozilla.org CNAME sumo.external.zlb.scl3.mozilla.com A 63.245.213.32 NS a.gtld-servers.net NS e.gtld-servers.net NS m.gtld-servers.net NS l.gtld-servers.net NS h.gtld-servers.net NS j.gtld-servers.net NS b.gtld-servers.net NS c.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,94,Standard query 0xfe55 A sumo.external.zlb.scl3.mozilla.com
172.31.3.121,172.31.1.6,DNS,334,Standard query response 0xfe55 A sumo.external.zlb.scl3.mozilla.com A 63.245.213.32 NS i.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net NS b.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS l.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,81,Standard query 0x7446 A policy.ccs.mcafee.com
172.31.111.131,172.31.1.6,DNS,111,Standard query 0x4e4e A LB-IM-07-826586616.ap-southeast-1.elb.amazonaws.com
172.31.127.227,172.31.1.6,DNS,92,Standard query 0x3787 A r2---sn-p5qlsnss.googlevideo.com
208.67.220.123,172.31.3.121,DNS,124,Standard query response 0x3bc7 A a1073.dsw4.akamai.net A 180.149.61.161 A 180.149.61.147 OPT
208.67.220.123,172.31.3.121,DNS,168,Standard query response 0x1915 A c-0.19-a3000081.81.16a8.aab.3ea5.210.0.3ti386gwmkantvqjvmcbj7nn7t.avts.mcafee.com A 127.129.0.128 OPT
172.31.3.121,172.31.1.6,DNS,334,Standard query response 0x1073 A a1073.dsw4.akamai.net A 180.149.61.161 A 180.149.61.147 NS d.gtld-servers.net NS l.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net NS m.gtld-servers.net NS g.gtld-servers.net NS i.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net
172.31.1.6,172.31.137.172,DNS,207,Standard query response 0x4a55 A fbcdn-creative-a.akamaihd.net CNAME fbcdn-creative-a.akamaihd.net.edgesuite.net CNAME a1073.dsw4.akamai.net A 180.149.61.161 A 180.149.61.147
172.31.3.121,172.31.1.6,DNS,381,Standard query response 0x500c A c-0.19-a3000081.81.16a8.aab.3ea5.210.0.3ti386gwmkantvqjvmcbj7nn7t.avts.mcafee.com A 127.129.0.128 NS i.gtld-servers.net NS l.gtld-servers.net NS b.gtld-servers.net NS m.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS h.gtld-servers.net
208.67.220.123,172.31.3.121,DNS,105,Standard query response 0x8f53 A s3-1.amazonaws.com A 54.231.49.51 OPT
172.31.120.103,172.31.1.6,DNS,76,Standard query 0xe971 A track.adform.net
172.31.1.6,172.31.3.121,DNS,76,Standard query 0xcca1 A track.adform.net
172.31.3.121,172.31.1.6,DNS,318,Standard query response 0x79ce A s3-1.amazonaws.com A 54.231.49.51 NS f.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net
8.8.4.4,172.31.3.121,DNS,809,Standard query response 0x4f32 DS cpvroundabout.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,340,Standard query response 0xdad8 A static.cpvroundabout.com A 104.28.19.21 A 104.28.18.21 NS e.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS h.gtld-servers.net NS j.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net
172.31.125.188,172.31.1.6,DNS,80,Standard query 0x0d91 A cas.jp.as.criteo.com
