172.31.3.121,172.31.1.6,DNS,430,Standard query response 0x186f A cn1.client.akadns.net A 77.67.10.132 A 77.67.10.134 A 213.200.111.122 A 213.200.111.116 A 213.200.111.114 A 77.67.10.141 A 77.67.10.140 A 77.67.10.150 NS i.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS b.gtld-servers.net NS d.gtld-servers.net NS l.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net
4.2.2.3,172.31.3.121,DNS,121,Standard query response 0x4bcf A a1755.q.akamai.net A 72.247.177.152 A 72.247.177.143 OPT
172.31.3.121,172.31.1.6,DNS,331,Standard query response 0x6a28 A a1755.q.akamai.net A 72.247.177.143 A 72.247.177.152 NS b.gtld-servers.net NS d.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS c.gtld-servers.net NS e.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net NS m.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net
172.31.1.6,172.31.60.35,DNS,185,Standard query response 0xf713 A search.hotstar.com CNAME search.hotstar.com.edgesuite.net CNAME a1755.q.akamai.net A 72.247.177.143 A 72.247.177.152
172.31.1.6,172.31.60.35,DNS,185,Standard query response 0xf713 A search.hotstar.com CNAME search.hotstar.com.edgesuite.net CNAME a1755.q.akamai.net A 72.247.177.143 A 72.247.177.152
172.31.1.6,172.31.60.35,DNS,185,Standard query response 0xf713 A search.hotstar.com CNAME search.hotstar.com.edgesuite.net CNAME a1755.q.akamai.net A 72.247.177.143 A 72.247.177.152
4.2.2.3,172.31.3.121,DNS,136,Standard query response 0x5563 A oasc00684.247realmedia.com CNAME oasc-eu1.247realmedia.com A 37.252.166.206 OPT
172.31.3.121,172.31.1.6,DNS,385,Standard query response 0x946b A oas.oxfordjournals.org CNAME oasc00684.247realmedia.com CNAME oasc-eu1.247realmedia.com A 37.252.166.206 NS c.gtld-servers.net NS k.gtld-servers.net NS d.gtld-servers.net NS a.gtld-servers.net NS g.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net
172.31.168.170,172.31.1.6,DNS,70,Standard query 0x7168 A google.com
172.31.1.6,172.31.168.170,DNS,86,Standard query response 0x7168 A google.com A 216.58.198.238
172.31.107.5,172.31.1.6,DNS,75,Standard query 0x8a1f A securepaths.com
172.31.1.6,172.31.3.121,DNS,75,Standard query 0xd4c8 A securepaths.com
4.2.2.4,172.31.3.121,DNS,107,Standard query response 0x5c97 A trans-p2p.pandora.tv A 61.111.9.97 OPT
172.31.125.94,172.31.1.6,DNS,80,Standard query 0x5efb A b-graph.facebook.com
8.8.4.4,172.31.3.121,DNS,87,Standard query response 0x2edb Server failure A five8.nydwhwi.ru OPT
119.81.212.83,172.31.165.118,TCP,60,"[TCP Retransmission] 53  >  50147 [FIN, ACK] Seq=1 Ack=1 Win=1 Len=0"
4.2.2.4,172.31.3.121,DNS,88,Standard query response 0x3829 Server failure A five17.nydwhwi.ru OPT
172.31.105.130,172.31.1.6,DNS,75,Standard query 0x3767 A www.youtube.com
172.31.106.211,172.31.1.6,DNS,86,Standard query 0x5ff1 A android.clients.google.com
4.2.2.3,172.31.3.121,DNS,143,Standard query response 0xf4f5 A config-ltvp.inmobi.com CNAME config-ltvp.vip.uh1.inmobi.com A 174.140.158.56 OPT
172.31.121.175,172.31.1.6,DNS,81,Standard query 0xb240 A staticxx.facebook.com
208.67.220.220,172.31.3.121,DNS,117,Standard query response 0xbe36 A livecmswesteurope.cloudapp.net A 40.115.34.155 OPT
172.31.3.121,172.31.1.6,DNS,391,Standard query response 0xbf49 A www.skype.com CNAME livecms.trafficmanager.net CNAME livecmswesteurope.cloudapp.net A 40.115.34.155 NS a.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net NS c.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS l.gtld-servers.net NS h.gtld-servers.net NS i.gtld-servers.net NS m.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,86,Standard query 0x3e8a A livecms.trafficmanager.net
172.31.3.121,172.31.1.6,DNS,364,Standard query response 0x3e8a A livecms.trafficmanager.net CNAME livecmswesteurope.cloudapp.net A 40.115.34.155 NS c.gtld-servers.net NS e.gtld-servers.net NS m.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS b.gtld-servers.net NS f.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS k.gtld-servers.net NS l.gtld-servers.net NS j.gtld-servers.net NS a.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,90,Standard query 0x35c9 A livecmswesteurope.cloudapp.net
