172.31.1.6,172.31.170.221,DNS,130,Standard query response 0xdc6c A lh6.googleusercontent.com CNAME googlehosted.l.googleusercontent.com A 216.58.197.65
172.31.170.221,172.31.1.6,DNS,75,Standard query 0x28f5 A ssl.gstatic.com
172.31.1.6,172.31.170.221,DNS,91,Standard query response 0x28f5 A ssl.gstatic.com A 216.58.220.35
172.31.1.6,172.31.137.116,DNS,278,Standard query response 0x73cc A android.imap.mail.yahoo.com CNAME imap-ssl.mail.yahoo.com CNAME imap.mail.gm0.yahoodns.net A 188.125.69.7 A 188.125.68.188 A 188.125.69.88 A 188.125.68.172 A 188.125.68.184 A 188.125.69.5 A 188.125.68.240 A 188.125.68.59
172.31.170.221,172.31.1.6,DNS,73,Standard query 0x9578 A p.typekit.net
172.31.129.255,172.31.1.6,DNS,75,Standard query 0xc26d A down4.ucweb.com
4.2.2.4,172.31.3.121,DNS,105,Standard query response 0x2568 A talk1000an.kik.com A 184.106.22.133 OPT
172.31.3.121,172.31.1.6,DNS,318,Standard query response 0x20b0 A talk1000an.kik.com A 184.106.22.133 NS i.gtld-servers.net NS e.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net NS a.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net NS c.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS h.gtld-servers.net NS l.gtld-servers.net
4.2.2.4,172.31.3.121,DNS,201,Standard query response 0x8299 A image-store.slidesharecdn.com CNAME wildcard.slidesharecdn.com.edgekey.net CNAME e1107.g.akamaiedge.net A 104.82.194.241 OPT
4.2.2.4,172.31.3.121,DNS,111,Standard query response 0x2a9f A 9gag.com A 52.74.84.193 A 54.169.145.179 OPT
4.2.2.4,172.31.3.121,DNS,101,Standard query response 0x47f4 A api.github.com A 192.30.252.127 OPT
172.31.3.121,172.31.1.6,DNS,314,Standard query response 0x0edf A api.github.com A 192.30.252.127 NS l.gtld-servers.net NS d.gtld-servers.net NS i.gtld-servers.net NS h.gtld-servers.net NS e.gtld-servers.net NS b.gtld-servers.net NS j.gtld-servers.net NS a.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS f.gtld-servers.net
172.31.1.6,172.31.170.201,DNS,90,Standard query response 0xb1fc A api.github.com A 192.30.252.127
172.31.1.6,172.31.170.201,DNS,90,Standard query response 0x865d A api.github.com A 192.30.252.127
172.31.1.6,172.31.170.201,DNS,90,Standard query response 0x865d A api.github.com A 192.30.252.127
172.31.1.6,172.31.170.201,DNS,90,Standard query response 0xb1fc A api.github.com A 192.30.252.127
172.31.1.6,172.31.3.121,DNS,83,Standard query 0xeb92 A officecdn.microsoft.com
172.31.170.201,172.31.1.6,DNS,74,Standard query 0x6ba9 A api.github.com
172.31.1.6,172.31.170.201,DNS,90,Standard query response 0x6ba9 A api.github.com A 192.30.252.127
