172.31.1.8,172.31.165.47,DNS,83,Standard query response 0xa4df Server failure A officecdn.microsoft.com
172.31.1.6,172.31.138.114,DNS,137,Standard query response 0xdf41 AAAA a1168.dsw4.akamai.net AAAA 2405:8a00:14:1::b495:3bd9 AAAA 2405:8a00:14:1::b495:3bd2
172.31.1.6,172.31.3.121,DNS,94,Standard query 0xfedf A s3-website-us-east-1.amazonaws.com
172.31.1.6,172.31.3.121,DNS,130,Standard query 0x6672 A pipeline-tee-p-elb-1rmutea6wo4sp-880153968.us-west-2.elb.amazonaws.com
172.31.1.6,172.31.3.121,DNS,90,Standard query 0x4966 A prod.outbrain.map.fastlylb.net
172.31.3.121,172.31.1.6,DNS,337,Standard query response 0xfedf A s3-website-us-east-1.amazonaws.com A 54.231.112.18 NS e.root-servers.net NS g.root-servers.net NS j.root-servers.net NS m.root-servers.net NS h.root-servers.net NS b.root-servers.net NS l.root-servers.net NS c.root-servers.net NS a.root-servers.net NS i.root-servers.net NS k.root-servers.net NS f.root-servers.net NS d.root-servers.net A 198.41.0.4
172.31.1.6,172.31.3.121,DNS,95,Standard query 0xb420 A 1.courier-push-apple.com.akadns.net
172.31.1.6,172.31.3.121,DNS,69,Standard query 0x4772 A iguide.to
172.31.1.6,172.31.3.121,DNS,121,Standard query 0x8a55 A visualisation-balancer-1473583828.eu-west-1.elb.amazonaws.com
172.31.3.121,172.31.1.6,DNS,327,Standard query response 0x4966 A prod.outbrain.map.fastlylb.net A 43.249.75.68 NS i.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS d.gtld-servers.net NS k.gtld-servers.net NS j.gtld-servers.net NS m.gtld-servers.net NS e.gtld-servers.net NS h.gtld-servers.net NS f.gtld-servers.net NS a.gtld-servers.net
172.31.1.6,172.31.137.250,DNS,140,Standard query response 0x0429 A quizup-questions.imgix.net CNAME prod.imgix.map.fastlylb.net A 43.249.75.188
172.31.3.121,172.31.1.6,DNS,328,Standard query response 0x4772 A iguide.to A 104.24.116.39 A 104.24.117.39 NS g.root-servers.net NS f.root-servers.net NS d.root-servers.net NS i.root-servers.net NS c.root-servers.net NS k.root-servers.net NS m.root-servers.net NS e.root-servers.net NS l.root-servers.net NS b.root-servers.net NS j.root-servers.net NS h.root-servers.net NS a.root-servers.net A 198.41.0.4
172.31.1.6,172.31.3.121,DNS,95,Standard query 0x6286 A 9.courier-push-apple.com.akadns.net
172.31.1.6,172.31.60.183,DNS,112,Standard query response 0x86b1 A a1696.w10.akamai.net A 180.149.61.137 A 180.149.61.152
172.31.3.121,172.31.1.6,DNS,396,Standard query response 0x8a55 A visualisation-balancer-1473583828.eu-west-1.elb.amazonaws.com A 52.19.188.65 A 54.76.162.224 A 54.154.60.218 NS j.root-servers.net NS g.root-servers.net NS k.root-servers.net NS a.root-servers.net NS i.root-servers.net NS b.root-servers.net NS h.root-servers.net NS d.root-servers.net NS c.root-servers.net NS l.root-servers.net NS e.root-servers.net NS f.root-servers.net NS m.root-servers.net A 198.41.0.4
172.31.3.121,172.31.1.6,DNS,482,Standard query response 0xb420 A 1.courier-push-apple.com.akadns.net CNAME asia-courier.push-apple.com.akadns.net A 17.252.236.143 A 17.252.236.153 A 17.252.236.54 A 17.252.236.27 A 17.252.236.22 A 17.252.236.19 A 17.252.236.15 A 17.252.236.18 NS j.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS l.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS e.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS i.gtld-servers.net NS d.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,482,Standard query response 0x6286 A 9.courier-push-apple.com.akadns.net CNAME asia-courier.push-apple.com.akadns.net A 17.252.236.15 A 17.252.236.27 A 17.252.236.54 A 17.252.236.18 A 17.252.236.19 A 17.252.236.143 A 17.252.236.153 A 17.252.236.22 NS e.gtld-servers.net NS a.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS h.gtld-servers.net NS i.gtld-servers.net NS l.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net NS m.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,89,Standard query 0x91a7 A d3k42v5me62qu0.cloudfront.net
172.31.1.6,172.31.136.207,DNS,88,Standard query response 0x8a32 A pro.imdb.com A 72.21.214.3
