172.31.150.79,172.31.1.6,DNS,79,Standard query 0x540f A clients3.google.com
172.31.1.8,172.31.164.186,DNS,321,Standard query response 0xb064 A fbcdn-photos-b-a.akamaihd.net CNAME fbcdn-photos-b-a.akamaihd.net.edgesuite.net CNAME a2047.dspmm1.akamai.net A 195.10.11.106 A 195.10.11.115 A 195.10.11.105 A 195.10.11.114 A 195.10.11.113 A 195.10.11.107 A 195.10.11.112 A 195.10.11.120 A 195.10.11.99
209.244.0.3,172.31.3.121,DNS,287,Standard query response 0x7198 NS com NS a.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS l.gtld-servers.net NS b.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS e.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net
172.31.130.13,172.31.1.6,DNS,79,Standard query 0x01be A clients1.google.com
208.67.220.220,172.31.3.121,DNS,125,Standard query response 0x9839 A ds1-global.l7.search.ystg1.b.yahoo.com A 106.10.170.150 OPT
209.244.0.3,172.31.3.121,DNS,104,Standard query response 0xc401 A raebivwo.biz A 198.105.254.11 A 104.239.213.7
172.31.3.121,172.31.1.6,DNS,365,Standard query response 0x8f5d A in.search.yahoo.com CNAME ds1-global.l7.search.ystg1.b.yahoo.com A 106.10.170.150 NS h.root-servers.net NS j.root-servers.net NS g.root-servers.net NS k.root-servers.net NS e.root-servers.net NS c.root-servers.net NS l.root-servers.net NS d.root-servers.net NS b.root-servers.net NS m.root-servers.net NS i.root-servers.net NS f.root-servers.net NS a.root-servers.net A 198.41.0.4
172.31.1.6,172.31.3.121,DNS,98,Standard query 0x5cb9 A ds1-global.l7.search.ystg1.b.yahoo.com
172.31.3.121,172.31.1.6,DNS,341,Standard query response 0x5cb9 A ds1-global.l7.search.ystg1.b.yahoo.com A 106.10.170.150 NS k.root-servers.net NS e.root-servers.net NS i.root-servers.net NS c.root-servers.net NS j.root-servers.net NS a.root-servers.net NS f.root-servers.net NS d.root-servers.net NS g.root-servers.net NS m.root-servers.net NS l.root-servers.net NS h.root-servers.net NS b.root-servers.net A 198.41.0.4
8.8.4.4,172.31.3.121,DNS,131,Standard query response 0x139e A p06-caldav-current.edge.icloud.apple-dns.net A 17.248.154.141 OPT
172.31.1.8,172.31.165.41,DNS,127,Standard query response 0xc671 A fd-geoycpi-uno.gycpi.b.yahoodns.net A 106.10.199.11 A 106.10.199.10
172.31.3.121,172.31.1.6,DNS,376,Standard query response 0xee3f A p06-caldav.icloud.com CNAME p06-caldav-current.edge.icloud.apple-dns.net A 17.248.154.141 NS j.gtld-servers.net NS c.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS m.gtld-servers.net NS h.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS a.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net
209.244.0.3,172.31.3.121,DNS,97,Standard query response 0x06bd NS 8.e.f.ip6.arpa NS localhost
8.8.4.4,172.31.3.121,DNS,807,Standard query response 0x2758 DS adsymptotic.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
209.244.0.3,172.31.3.121,DNS,113,Standard query response 0xe004 A a1073.dsw4.akamai.net A 46.33.76.33 A 46.33.76.51
172.31.1.6,172.31.3.121,DNS,104,Standard query 0xbef2 A p06-caldav-current.edge.icloud.apple-dns.net
209.244.0.3,172.31.3.121,DNS,164,Standard query response 0x19d8 A om.cbsi.com CNAME cbsinteractive.d2.sc.omtrdc.net A 66.235.148.65 A 66.235.148.132 A 66.235.148.133
