172.31.125.159,172.31.1.6,DNS,72,Standard query 0xd76c A i1.ytimg.com
4.2.2.1,172.31.3.121,DNS,118,Standard query response 0x7dcf A r12.sn-p5qlsned.googlevideo.com A 173.194.132.49 OPT
172.31.3.121,172.31.1.6,DNS,363,Standard query response 0x27f4 A r12---sn-p5qlsned.googlevideo.com CNAME r12.sn-p5qlsned.googlevideo.com A 173.194.132.49 NS l.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS h.gtld-servers.net NS e.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS b.gtld-servers.net NS c.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,91,Standard query 0x1bed A r12.sn-p5qlsned.googlevideo.com
172.31.3.121,172.31.1.6,DNS,331,Standard query response 0x1bed A r12.sn-p5qlsned.googlevideo.com A 173.194.132.49 NS m.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net NS h.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS d.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net
172.31.130.8,172.31.1.6,DNS,75,Standard query 0xec87 A mail.google.com
8.8.8.8,172.31.3.121,DNS,141,Standard query response 0x5e4b AAAA android.l.google.com SOA ns1.google.com OPT
172.31.3.121,172.31.1.6,DNS,130,Standard query response 0x7cd6 AAAA android.l.google.com SOA ns1.google.com
172.31.1.6,172.31.205.216,DNS,110,Standard query response 0x42da AAAA android.clients.google.com CNAME android.l.google.com
172.31.110.225,172.31.1.6,DNS,79,Standard query 0x1a4f A clients3.google.com
172.31.1.6,172.31.3.121,DNS,94,Standard query 0x6dd0 A i-35.b-41865.ut.bench.utorrent.com
8.8.8.8,172.31.3.121,DNS,104,Standard query response 0xe4fe A www.loveawake.com A 5.189.155.11 OPT
172.31.1.6,172.31.3.121,DNS,77,Standard query 0x89cd A easytomessage.com
172.31.3.121,172.31.1.6,DNS,365,Standard query response 0x89cd A easytomessage.com A 118.145.3.76 A 118.145.3.80 A 118.145.3.75 A 118.145.3.81 NS d.gtld-servers.net NS i.gtld-servers.net NS c.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS k.gtld-servers.net NS g.gtld-servers.net NS e.gtld-servers.net NS b.gtld-servers.net NS j.gtld-servers.net NS m.gtld-servers.net
172.31.1.6,172.31.139.237,DNS,141,Standard query response 0x45f0 A easytomessage.com A 118.145.3.76 A 118.145.3.80 A 118.145.3.75 A 118.145.3.81
172.31.130.224,172.31.1.6,DNS,80,Standard query 0xe9a6 A logger.instagram.com
172.31.106.130,172.31.1.6,DNS,76,Standard query 0xdbd9 A ocsp.godaddy.com
172.31.1.6,172.31.3.121,DNS,87,Standard query 0xad7a A ocsp.godaddy.com.akadns.net
172.31.128.127,172.31.1.6,DNS,79,Standard query 0x05e5 A clients3.google.com
172.31.110.225,172.31.1.6,DNS,82,Standard query 0x3a7a A edge-mqtt.facebook.com
8.8.8.8,172.31.3.121,DNS,108,Standard query response 0x3f9d A rad.msn.com.nsatc.net A 111.221.29.189 OPT
172.31.3.121,172.31.1.6,DNS,343,Standard query response 0x5169 A rad.msn.com CNAME rad.msn.com.nsatc.net A 111.221.29.189 NS h.gtld-servers.net NS g.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net NS b.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS d.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,81,Standard query 0x2a60 A rad.msn.com.nsatc.net
172.31.3.121,172.31.1.6,DNS,318,Standard query response 0x2a60 A rad.msn.com.nsatc.net A 111.221.29.189 NS h.gtld-servers.net NS j.gtld-servers.net NS b.gtld-servers.net NS i.gtld-servers.net NS l.gtld-servers.net NS k.gtld-servers.net NS d.gtld-servers.net NS m.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS c.gtld-servers.net
172.31.126.47,172.31.1.6,DNS,83,Standard query 0x1a9c A fbstatic-a.akamaihd.net
172.31.1.8,172.31.164.211,DNS,90,Standard query response 0xd573 A www.google.com A 216.58.210.36
172.31.1.8,172.31.166.136,DNS,119,Standard query response 0x5618 A cm.g.doubleclick.net CNAME pagead.l.doubleclick.net A 172.217.16.66
172.31.1.8,172.31.166.136,DNS,128,Standard query response 0x5ea2 A googleads.g.doubleclick.net CNAME pagead46.l.doubleclick.net A 216.58.197.34
172.31.1.8,172.31.166.136,DNS,90,Standard query response 0xd80a A www.google.com A 216.58.210.36
172.31.1.8,172.31.166.136,DNS,144,Standard query response 0x736c A tpc.googlesyndication.com CNAME pagead-googlehosted.l.google.com A 216.58.197.65
4.2.2.1,172.31.3.121,DNS,173,Standard query response 0xb7cf A b-0.19-a3000408.8040081.16a8.ab2.3ea4.410.0.aih3ecwc6u4ravnjrhngqbr65i.avts.mcafee.com A 127.129.0.128 OPT
172.31.150.150,172.31.1.6,DNS,79,Standard query 0x7828 A clients3.google.com
172.31.3.121,172.31.1.6,DNS,386,Standard query response 0xfb27 A b-0.19-a3000408.8040081.16a8.ab2.3ea4.410.0.aih3ecwc6u4ravnjrhngqbr65i.avts.mcafee.com A 127.129.0.128 NS b.gtld-servers.net NS j.gtld-servers.net NS i.gtld-servers.net NS m.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS g.gtld-servers.net NS h.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net NS k.gtld-servers.net NS d.gtld-servers.net NS f.gtld-servers.net
172.31.128.222,172.31.1.6,DNS,83,Standard query 0x08a1 A officecdn.microsoft.com
172.31.1.6,172.31.3.121,DNS,83,Standard query 0x089d A officecdn.microsoft.com
172.31.3.121,172.31.1.6,DNS,543,Standard query response 0x089d A officecdn.microsoft.com CNAME officecdn15.c2r.microsoft.com.akadns.net CNAME officecdn15-worldwide.c2r.microsoft.com.akadns.net CNAME 2-01-3f20-0003.cdx.cedexis.net CNAME officecdn-prod.microsoft.com.edgesuite.net CNAME officecdn-prod.microsoft.com.edgesuite.net.globalredir.akadns.net CNAME a1737.dspw65.akamai.net A 23.63.98.32 A 23.63.98.43 NS g.gtld-servers.net NS d.gtld-servers.net NS e.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net NS h.gtld-servers.net NS j.gtld-servers.net
172.31.1.6,172.31.139.20,DNS,83,Standard query response 0xc334 Server failure A officecdn.microsoft.com
172.31.131.76,172.31.1.6,DNS,76,Standard query 0x25ab A www.msftncsi.com
