172.31.131.214,172.31.1.6,DNS,76,Standard query 0xe979 A mtalk.google.com
172.31.1.6,172.31.3.121,DNS,83,Standard query 0x03b2 A officecdn.microsoft.com
172.31.3.121,172.31.1.6,DNS,543,Standard query response 0x03b2 A officecdn.microsoft.com CNAME officecdn15.c2r.microsoft.com.akadns.net CNAME officecdn15-worldwide.c2r.microsoft.com.akadns.net CNAME 2-01-3f20-0003.cdx.cedexis.net CNAME officecdn-prod.microsoft.com.edgesuite.net CNAME officecdn-prod.microsoft.com.edgesuite.net.globalredir.akadns.net CNAME a1737.dspw65.akamai.net A 23.63.98.43 A 23.63.98.32 NS f.gtld-servers.net NS b.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS a.gtld-servers.net NS d.gtld-servers.net
172.31.1.6,172.31.139.20,DNS,83,Standard query response 0x7526 Server failure A officecdn.microsoft.com
172.31.145.168,172.31.1.6,DNS,84,Standard query 0x4f0b A webres5.qheal.ctmail.com
209.244.0.4,172.31.3.121,DNS,810,Standard query response 0x1d63 DS abpnewsnetwork.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
4.2.2.2,172.31.3.121,DNS,205,Standard query response 0x2458 A overseas.hiddnsservice.com CNAME eu.hiddnsservice.com CNAME portal-lb-1237415662.eu-west-1.elb.amazonaws.com A 52.18.246.125 A 54.154.93.43 OPT
172.31.3.121,172.31.1.6,DNS,318,Standard query response 0xa9aa A abpnewsnetwork.com A 52.76.51.143 NS l.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net NS k.gtld-servers.net NS e.gtld-servers.net NS c.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net
172.31.123.223,172.31.1.6,DNS,82,Standard query 0xa660 A 2.android.pool.ntp.org
172.31.107.41,172.31.1.6,DNS,91,Standard query 0xd066 A clientupdates.dropboxstatic.com
172.31.1.6,172.31.3.121,DNS,91,Standard query 0xca02 A clientupdates.dropboxstatic.com
172.31.147.96,172.31.1.6,DNS,84,Standard query 0xd2dc A sc-analytics.appspot.com
172.31.1.6,172.31.205.210,DNS,160,Standard query response 0xb543 A ping3.teamviewer.com A 37.252.227.51 A 162.220.223.28 A 217.146.26.212 A 37.252.248.78 A 37.252.230.28
172.31.1.6,172.31.3.121,DNS,80,Standard query 0x9a59 A appspot.l.google.com
172.31.3.121,172.31.1.6,DNS,320,Standard query response 0x9a59 A appspot.l.google.com A 216.58.199.177 NS b.gtld-servers.net NS k.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS f.gtld-servers.net NS c.gtld-servers.net NS j.gtld-servers.net NS d.gtld-servers.net NS g.gtld-servers.net NS i.gtld-servers.net NS m.gtld-servers.net NS h.gtld-servers.net NS e.gtld-servers.net
172.31.124.224,172.31.1.6,DNS,76,Standard query 0xdde8 A app.snapchat.com
172.31.151.143,172.31.1.6,DNS,76,Standard query 0x5ff6 A www.msftncsi.com
172.31.1.6,172.31.63.171,DNS,105,Standard query response 0xb482 A connectivitycheck.android.com A 216.58.194.206
172.31.130.70,172.31.1.6,DNS,71,Standard query 0xf6a4 A www.apa.org
172.31.128.100,172.31.1.6,DNS,75,Standard query 0xd868 A plus.google.com
172.31.1.6,172.31.3.121,DNS,71,Standard query 0x58c9 A www.apa.org
4.2.2.2,172.31.3.121,DNS,119,Standard query response 0x68c0 A adduplex-serving-v3.cloudapp.net A 168.61.53.195 OPT
8.8.8.8,172.31.3.121,DNS,111,Standard query response 0xc200 A dnl-12.geo.kaspersky.com A 103.254.155.2 OPT
172.31.3.121,172.31.1.6,DNS,357,Standard query response 0xba43 A s.adduplex.com CNAME adduplex-serving-v3.cloudapp.net A 168.61.53.195 NS h.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net NS d.gtld-servers.net NS i.gtld-servers.net NS g.gtld-servers.net NS c.gtld-servers.net NS e.gtld-servers.net NS m.gtld-servers.net NS l.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,92,Standard query 0x4015 A adduplex-serving-v3.cloudapp.net
172.31.3.121,172.31.1.6,DNS,324,Standard query response 0xcd76 A dnl-12.geo.kaspersky.com A 103.254.155.2 NS h.gtld-servers.net NS i.gtld-servers.net NS g.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS j.gtld-servers.net NS a.gtld-servers.net NS d.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,329,Standard query response 0x4015 A adduplex-serving-v3.cloudapp.net A 168.61.53.195 NS f.gtld-servers.net NS d.gtld-servers.net NS b.gtld-servers.net NS k.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS g.gtld-servers.net NS i.gtld-servers.net NS e.gtld-servers.net NS a.gtld-servers.net NS m.gtld-servers.net
172.31.122.213,172.31.1.6,DNS,84,Standard query 0x35bd AAAA dnl-12.geo.kaspersky.com
172.31.1.6,172.31.139.83,DNS,122,Standard query response 0xe70f A edge-mqtt.facebook.com CNAME mqtt.c10r.facebook.com A 179.60.192.2
4.2.2.2,172.31.3.121,DNS,170,Standard query response 0xf9ad A 1k-0.19-20000000.900.16a8.aa2.3ea5.410.0.uvhk6amtf1pq3zf2qetcz3e7vv.avts.mcafee.com A 127.192.0.128 OPT
8.8.8.8,172.31.206.16,DNS,187,Standard query response 0xeafc No such name A teredo.ipv6.microsoft.com CNAME teredo.ipv6.microsoft.com.nsatc.net SOA admin.nsatc.net
172.31.3.121,172.31.1.6,DNS,383,Standard query response 0x6af3 A 1k-0.19-20000000.900.16a8.aa2.3ea5.410.0.uvhk6amtf1pq3zf2qetcz3e7vv.avts.mcafee.com A 127.192.0.128 NS i.gtld-servers.net NS l.gtld-servers.net NS e.gtld-servers.net NS g.gtld-servers.net NS h.gtld-servers.net NS m.gtld-servers.net NS b.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net NS f.gtld-servers.net NS k.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net
172.31.121.175,172.31.1.6,DNS,84,Standard query 0x13e6 A 4-edge-chat.facebook.com
172.31.123.223,172.31.1.6,DNS,75,Standard query 0x2aec A e9.whatsapp.net
172.31.1.6,172.31.3.121,DNS,84,Standard query 0x504d A 4-edge-chat.facebook.com
172.31.3.121,172.31.1.6,DNS,348,Standard query response 0x504d A 4-edge-chat.facebook.com CNAME star.c10r.facebook.com A 31.13.91.2 NS g.gtld-servers.net NS a.gtld-servers.net NS h.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS j.gtld-servers.net NS d.gtld-servers.net NS e.gtld-servers.net NS c.gtld-servers.net NS i.gtld-servers.net NS b.gtld-servers.net
4.2.2.2,172.31.3.121,DNS,679,Standard query response 0x20c2 No such name DS txtnlbe SOA a.root-servers.net RRSIG NSEC aaa RRSIG NSEC tz RRSIG OPT
172.31.1.6,172.31.3.121,DNS,83,Standard query 0xe503 A officecdn.microsoft.com
172.31.3.121,172.31.1.6,DNS,543,Standard query response 0xe503 A officecdn.microsoft.com CNAME officecdn15.c2r.microsoft.com.akadns.net CNAME officecdn15-worldwide.c2r.microsoft.com.akadns.net CNAME 2-01-3f20-0003.cdx.cedexis.net CNAME officecdn-prod.microsoft.com.edgesuite.net CNAME officecdn-prod.microsoft.com.edgesuite.net.globalredir.akadns.net CNAME a1737.dspw65.akamai.net A 23.63.98.43 A 23.63.98.32 NS i.gtld-servers.net NS a.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net NS k.gtld-servers.net
172.31.1.6,172.31.139.20,DNS,83,Standard query response 0xf23b Server failure A officecdn.microsoft.com
