172.31.106.185,172.31.1.6,DNS,76,Standard query 0xf826 A mtalk.google.com
4.2.2.4,172.31.3.121,DNS,126,Standard query response 0x7342 A a1691.dspda2.akamai.net A 88.221.49.89 A 88.221.49.72 OPT
172.31.3.121,172.31.1.6,DNS,428,Standard query response 0x6d58 A fbcdn-video-b-a.akamaihd.net CNAME fbcdn-video-b-a.akamaihd.net.edgesuite.net CNAME a1691.dspda2.akamai.net A 88.221.49.72 A 88.221.49.89 NS d.gtld-servers.net NS b.gtld-servers.net NS g.gtld-servers.net NS l.gtld-servers.net NS a.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS e.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,83,Standard query 0x23b3 A a1691.dspda2.akamai.net
172.31.3.121,172.31.1.6,DNS,336,Standard query response 0x23b3 A a1691.dspda2.akamai.net A 88.221.49.89 A 88.221.49.72 NS d.gtld-servers.net NS g.gtld-servers.net NS j.gtld-servers.net NS f.gtld-servers.net NS i.gtld-servers.net NS k.gtld-servers.net NS l.gtld-servers.net NS b.gtld-servers.net NS m.gtld-servers.net NS e.gtld-servers.net NS c.gtld-servers.net NS h.gtld-servers.net NS a.gtld-servers.net
4.2.2.4,172.31.3.121,DNS,145,Standard query response 0x64b1 A scontent.lrcdn.net CNAME liverail.c10r.facebook.com A 179.60.192.12 OPT
4.2.2.4,172.31.3.121,DNS,110,Standard query response 0xe75b A e10379.b.akamaiedge.net A 23.48.194.178 OPT
172.31.3.121,172.31.1.6,DNS,320,Standard query response 0x27e6 A e10379.b.akamaiedge.net A 23.48.194.178 NS f.gtld-servers.net NS d.gtld-servers.net NS e.gtld-servers.net NS k.gtld-servers.net NS h.gtld-servers.net NS b.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS i.gtld-servers.net NS c.gtld-servers.net NS a.gtld-servers.net NS m.gtld-servers.net NS l.gtld-servers.net
172.31.1.8,172.31.166.66,DNS,176,Standard query response 0xd7c4 A developer.myntra.com CNAME developer.myntra.com.edgekey.net CNAME e10379.b.akamaiedge.net A 23.48.194.178
172.31.126.0,172.31.1.6,DNS,146,Standard query 0xa998 A b.c-0.19-a3000408.40481.16a8.ab2.3ea4.410.0.24aeqcg77n22g8wj9vmmq822v6.avts.mcafee.com
