4.2.2.2,172.31.3.121,DNS,69,Standard query response 0xa20a Refused DS adingo.jp
4.2.2.2,172.31.3.121,DNS,167,Standard query response 0x5fc5 A cmsecurity-368024931.us-west-2.elb.amazonaws.com A 54.200.38.205 A 54.191.167.134 A 52.27.94.41 OPT
172.31.3.121,172.31.1.6,DNS,380,Standard query response 0xfecd A cmsecurity-368024931.us-west-2.elb.amazonaws.com A 54.191.167.134 A 52.27.94.41 A 54.200.38.205 NS i.gtld-servers.net NS f.gtld-servers.net NS h.gtld-servers.net NS d.gtld-servers.net NS j.gtld-servers.net NS m.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS k.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,414,Standard query response 0x6f30 A cmsecurity.ksmobile.com CNAME cmsecurity-368024931.us-west-2.elb.amazonaws.com A 52.27.94.41 A 54.200.38.205 A 54.191.167.134 NS b.gtld-servers.net NS i.gtld-servers.net NS f.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net NS g.gtld-servers.net NS k.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS a.gtld-servers.net NS e.gtld-servers.net NS c.gtld-servers.net NS l.gtld-servers.net
4.2.2.2,172.31.3.121,DNS,122,Standard query response 0xbc5a A a223.w10.akamai.net A 92.123.143.105 A 92.123.143.136 OPT
172.31.3.121,172.31.1.6,DNS,367,Standard query response 0x4245 A ssvodasp-vh.akamaihd.net CNAME a223.w10.akamai.net A 92.123.143.136 A 92.123.143.105 NS i.gtld-servers.net NS f.gtld-servers.net NS l.gtld-servers.net NS g.gtld-servers.net NS h.gtld-servers.net NS j.gtld-servers.net NS c.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net NS e.gtld-servers.net NS b.gtld-servers.net NS k.gtld-servers.net NS a.gtld-servers.net
172.31.3.121,172.31.1.6,DNS,332,Standard query response 0xe369 A a223.w10.akamai.net A 92.123.143.105 A 92.123.143.136 NS d.gtld-servers.net NS a.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net NS k.gtld-servers.net NS m.gtld-servers.net NS i.gtld-servers.net NS e.gtld-servers.net NS l.gtld-servers.net NS c.gtld-servers.net NS h.gtld-servers.net NS g.gtld-servers.net NS b.gtld-servers.net
172.31.1.6,172.31.3.121,DNS,82,Standard query 0x652e A ds-aksb-a.akamaihd.net
4.2.2.2,172.31.3.121,DNS,171,Standard query response 0xd66a A as.ebz.io CNAME ebz.teads.net A 77.87.104.129 A 77.87.104.130 A 46.252.188.130 A 46.252.188.129 OPT
4.2.2.2,172.31.3.121,DNS,808,Standard query response 0x4a7b DS imrworldwide.com NSEC3 RRSIG SOA a.gtld-servers.net RRSIG NSEC3 RRSIG OPT
172.31.3.121,172.31.1.6,DNS,326,Standard query response 0x7c35 A secure-gl.imrworldwide.com A 138.108.140.100 NS f.gtld-servers.net NS a.gtld-servers.net NS l.gtld-servers.net NS m.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net NS k.gtld-servers.net NS j.gtld-servers.net NS h.gtld-servers.net NS g.gtld-servers.net NS e.gtld-servers.net NS b.gtld-servers.net NS i.gtld-servers.net
172.31.120.107,172.31.1.6,DNS,76,Standard query 0xf58a A www.facebook.com
